大类,指令,说明,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,启用 OSPF,,,,,,
路由器配置/OSPF 路由协议,network 192.168.1.0 0.0.0.255 area 0,执行 network 192.168.1.0 0.0.0.255 area 0 命令,,,,,,
路由器配置/OSPF 路由协议,network 10.1.0.0 0.0.255.255 area 0,多区域配置,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,配置 Router ID,,,,,,
路由器配置/OSPF 路由协议,router-id 1.1.1.1,手动指定 RID,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,被动接口,,,,,,
路由器配置/OSPF 路由协议,passive-interface GigabitEthernet0/0,不建立邻接,,,,,,
路由器配置/OSPF 路由协议,interface GigabitEthernet0/0,修改接口开销,,,,,,
路由器配置/OSPF 路由协议,ip ospf cost 50,手动设置 cost,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,修改参考带宽,,,,,,
路由器配置/OSPF 路由协议,auto-cost reference-bandwidth 10000,10Gbps 参考,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,区域间汇总,,,,,,
路由器配置/OSPF 路由协议,area 1 range 10.1.0.0 255.255.0.0,区域 1 汇总,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,外部路由汇总,,,,,,
路由器配置/OSPF 路由协议,summary-address 172.16.0.0 255.255.0.0,外部汇总,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,虚链路配置,,,,,,
路由器配置/OSPF 路由协议,area 2 virtual-link 2.2.2.2,连接到骨干区域,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,NSSA 区域配置,,,,,,
路由器配置/OSPF 路由协议,area 2 nssa,配置 NSSA,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,Stub 区域,,,,,,
路由器配置/OSPF 路由协议,area 3 stub,末节区域,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,完全 Stub 区域,,,,,,
路由器配置/OSPF 路由协议,area 3 stub no-summary,完全末节,,,,,,
路由器配置/OSPF 路由协议,interface GigabitEthernet0/0,认证 \明文,,,,,,
路由器配置/OSPF 路由协议,ip ospf authentication,执行 ip ospf authentication 命令,,,,,,
路由器配置/OSPF 路由协议,ip ospf authentication-key cisco123,明文认证,,,,,,
路由器配置/OSPF 路由协议,interface GigabitEthernet0/0,认证 \MD5,,,,,,
路由器配置/OSPF 路由协议,ip ospf authentication message-digest,执行 ip ospf authentication message-digest 命令,,,,,,
路由器配置/OSPF 路由协议,ip ospf message-digest-key 1 md5 cisco123,MD5 认证,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,默认信息 originate,,,,,,
路由器配置/OSPF 路由协议,default-information originate always,始终通告默认路由,,,,,,
路由器配置/OSPF 路由协议,show ip ospf neighbor,显示邻接关系,,,,,,
路由器配置/OSPF 路由协议,show ip ospf database,LSDB 数据库,,,,,,
路由器配置/OSPF 路由协议,show ip ospf interface,接口 OSPF 信息,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,重分布其他协议,,,,,,
路由器配置/OSPF 路由协议,redistribute rip subnets metric 20 metric-type 1,重分布 RIP,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,路由过滤,,,,,,
路由器配置/OSPF 路由协议,distribute-list prefix FILTER in,前缀列表过滤,,,,,,
路由器配置/OSPF 路由协议,router ospf 1,调整 SPF 计时器,,,,,,
路由器配置/OSPF 路由协议,timers throttle spf 5 10 10000,SPF 计算间隔,,,,,,
路由器配置/EIGRP 路由协议,router eigrp 100,启用 EIGRP,,,,,,
路由器配置/EIGRP 路由协议,network 192.168.1.0 0.0.0.255,执行 network 192.168.1.0 0.0.0.255 命令,,,,,,
路由器配置/EIGRP 路由协议,network 10.0.0.0,执行 network 10.0.0.0 命令,,,,,,
路由器配置/EIGRP 路由协议,eigrp router-id 1.1.1.1,命名模式 EIGRP,,,,,,
路由器配置/EIGRP 路由协议,router eigrp 100,关闭自动汇总,,,,,,
路由器配置/EIGRP 路由协议,no auto-summary,关闭自动汇总,,,,,,
路由器配置/EIGRP 路由协议,router eigrp 100,被动接口,,,,,,
路由器配置/EIGRP 路由协议,passive-interface GigabitEthernet0/0,被动接口,,,,,,
路由器配置/EIGRP 路由协议,interface GigabitEthernet0/0,修改接口参数,,,,,,
路由器配置/EIGRP 路由协议,ip summary-address eigrp 100 10.1.0.0 255.255.0.0,手工汇总,,,,,,
路由器配置/EIGRP 路由协议,interface Serial0/0/0,调整带宽占用,,,,,,
路由器配置/EIGRP 路由协议,ip bandwidth-percent eigrp 100 50,使用 50% 带宽,,,,,,
路由器配置/EIGRP 路由协议,interface GigabitEthernet0/0,调整 Hello 间隔,,,,,,
路由器配置/EIGRP 路由协议,ip hello-interval eigrp 100 5,5 秒 Hello,,,,,,
路由器配置/EIGRP 路由协议,interface GigabitEthernet0/0,调整保持时间,,,,,,
路由器配置/EIGRP 路由协议,ip hold-time eigrp 100 15,15 秒保持,,,,,,
路由器配置/EIGRP 路由协议,router eigrp 100,不等价负载均衡,,,,,,
路由器配置/EIGRP 路由协议,variance 2,允许 2 倍差异的路径,,,,,,
路由器配置/EIGRP 路由协议,key chain EIGRP-KEY,认证配置,,,,,,
路由器配置/EIGRP 路由协议,key 1,执行 key 1 命令,,,,,,
路由器配置/EIGRP 路由协议,key-string cisco123,执行 key-string cisco123 命令,,,,,,
路由器配置/EIGRP 路由协议,interface GigabitEthernet0/0,执行 interface GigabitEthernet0/0 命令,,,,,,
路由器配置/EIGRP 路由协议,ip authentication mode eigrp 100 md5,执行 ip authentication mode eigrp 100 md5 命令,,,,,,
路由器配置/EIGRP 路由协议,ip authentication key-chain eigrp 100 EIGRP-KEY,MD5 认证,,,,,,
路由器配置/EIGRP 路由协议,router eigrp 100,重分布,,,,,,
路由器配置/EIGRP 路由协议,redistribute ospf 1 metric 10000 100 255 1 1500,重分布 OSPF,,,,,,
路由器配置/EIGRP 路由协议,show ip eigrp topology,拓扑表,,,,,,
路由器配置/EIGRP 路由协议,show ip eigrp neighbors,邻居表,,,,,,
路由器配置/EIGRP 路由协议,show ip eigrp traffic,流量统计,,,,,,
路由器配置/EIGRP 路由协议,debug eigrp packets,查看 EIGRP 包,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,启用 BGP,,,,,,
路由器配置/BGP 路由协议,bgp router-id 1.1.1.1,执行 bgp router-id 1.1.1.1 命令,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 remote-as 65002,执行 neighbor 203.0.113.2 remote-as 65002 命令,,,,,,
路由器配置/BGP 路由协议,network 192.168.1.0 mask 255.255.255.0,EBGP 配置,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,IBGP 配置,,,,,,
路由器配置/BGP 路由协议,neighbor 10.255.255.2 remote-as 65001,执行 neighbor 10.255.255.2 remote-as 65001 命令,,,,,,
路由器配置/BGP 路由协议,neighbor 10.255.255.2 update-source Loopback0,IBGP,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,路由反射器,,,,,,
路由器配置/BGP 路由协议,neighbor 10.255.255.3 route-reflector-client,RR 客户端,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,联盟配置,,,,,,
路由器配置/BGP 路由协议,bgp confederation identifier 100,执行 bgp confederation identifier 100 命令,,,,,,
路由器配置/BGP 路由协议,bgp confederation peers 65002 65003,BGP 联盟,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,路由聚合,,,,,,
路由器配置/BGP 路由协议,aggregate-address 10.0.0.0 255.0.0.0 summary-only,聚合路由,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,本地优先级,,,,,,
路由器配置/BGP 路由协议,bgp default local-preference 200,设置本地优先级,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,MED 配置,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 default-metric 100,设置 MED,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,权重配置,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 weight 100,设置权重,,,,,,
路由器配置/BGP 路由协议,route-map SET-LP permit 10,路由映射,,,,,,
路由器配置/BGP 路由协议,set local-preference 200,配置设备或系统参数,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,执行 router bgp 65001 命令,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 route-map SET-LP in,应用路由图,,,,,,
路由器配置/BGP 路由协议,ip prefix-list ONLY-DEFAULT seq 5 permit 0.0.0.0/0,前缀列表,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,执行 router bgp 65001 命令,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 prefix-list ONLY-DEFAULT in,前缀过滤,,,,,,
路由器配置/BGP 路由协议,ip as-path access-list 1 permit ^65002$,AS Path 访问列表,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,执行 router bgp 65001 命令,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 filter-list 1 in,AS_PATH 过滤,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,定时器的调整,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 timers 10 30,Keepalive/Holddown,,,,,,
路由器配置/BGP 路由协议,router bgp 65001,软重配置,,,,,,
路由器配置/BGP 路由协议,neighbor 203.0.113.2 soft-reconfiguration inbound,软重配,,,,,,
路由器配置/BGP 路由协议,show ip bgp summary,BGP 摘要信息,,,,,,
路由器配置/BGP 路由协议,show ip bgp,BGP 路由表,,,,,,
路由器配置/BGP 路由协议,show ip bgp neighbors,邻居详细信息,,,,,,
路由器配置/NAT 配置,ip nat inside source static 192.168.1.10 203.0.113.10,一对一,,,,,,
路由器配置/NAT 配置,ip nat pool PUBLIC-POOL 203.0.113.10 203.0.113.20 netmask 255.255.255.0,动态 NAT,,,,,,
路由器配置/NAT 配置,access-list 1 permit 192.168.1.0 0.0.0.255,执行 access-list 1 permit 192.168.1.0 0.0.0.255 命令,,,,,,
路由器配置/NAT 配置,ip nat inside source list 1 pool PUBLIC-POOL,动态 NAT,,,,,,
路由器配置/NAT 配置,ip nat inside source list 1 interface Serial0/0/0 overload,PAT,,,,,,
路由器配置/NAT 配置,interface GigabitEthernet0/0,定义内部接口,,,,,,
路由器配置/NAT 配置,ip nat inside,内网接口,,,,,,
路由器配置/NAT 配置,interface Serial0/0/0,定义外部接口,,,,,,
路由器配置/NAT 配置,ip nat outside,外网接口,,,,,,
路由器配置/NAT 配置,ip nat inside source static tcp 192.168.1.10 80 203.0.113.10 8080,端口映射,,,,,,
路由器配置/NAT 配置,show ip nat translations,NAT 表,,,,,,
路由器配置/NAT 配置,clear ip nat translation *,清除所有转换,,,,,,
路由器配置/NAT 配置,show ip nat statistics,统计信息,,,,,,
路由器配置/NAT 配置,debug ip nat,实时查看 NAT,,,,,,
路由器配置/ACL 访问控制列表,access-list 10 permit 192.168.1.0 0.0.0.255,标准 ACL,,,,,,
路由器配置/ACL 访问控制列表,access-list 10 deny any,标准 ACL,,,,,,
路由器配置/ACL 访问控制列表,access-list 100 permit tcp 192.168.1.0 0.0.0.255 any eq 80,扩展 ACL,,,,,,
路由器配置/ACL 访问控制列表,access-list 100 permit tcp 192.168.1.0 0.0.0.255 any eq 443,扩展 ACL,,,,,,
路由器配置/ACL 访问控制列表,ip access-list extended WEB-TRAFFIC,命名 ACL,,,,,,
路由器配置/ACL 访问控制列表,permit tcp any any eq 80,执行 permit tcp any any eq 80 命令,,,,,,
路由器配置/ACL 访问控制列表,permit tcp any any eq 443,命名 ACL,,,,,,
路由器配置/ACL 访问控制列表,interface GigabitEthernet0/0,应用 ACL 到接口,,,,,,
路由器配置/ACL 访问控制列表,ip access-group 100 in,入站方向,,,,,,
路由器配置/ACL 访问控制列表,time-range WORK-HOURS,基于时间的 ACL,,,,,,
路由器配置/ACL 访问控制列表,periodic weekdays 8:00 to 17:00,执行 periodic weekdays 8:00 to 17:00 命令,,,,,,
路由器配置/ACL 访问控制列表,access-list 100 permit tcp any any eq 80 time-range WORK-HOURS,时间 ACL,,,,,,
路由器配置/ACL 访问控制列表,access-list 100 remark Web Traffic Only,ACL 注释,,,,,,
路由器配置/ACL 访问控制列表,show access-lists,显示所有 ACL,,,,,,
路由器配置/ACL 访问控制列表,show ip access-list 100,显示 ACL 100,,,,,,
路由器配置/ACL 访问控制列表,ip access-list extended WEB-TRAFFIC,编辑命名 ACL,,,,,,
路由器配置/ACL 访问控制列表,no permit tcp any any eq ftp,删除条目,,,,,,
路由器配置/ACL 访问控制列表,object-group network SERVERS,对象组 ACL,,,,,,
路由器配置/ACL 访问控制列表,host 192.168.1.10,执行 host 192.168.1.10 命令,,,,,,
路由器配置/ACL 访问控制列表,host 192.168.1.11,执行 host 192.168.1.11 命令,,,,,,
路由器配置/ACL 访问控制列表,access-list 100 permit tcp object-group SERVERS any eq 80,对象组,,,,,,
网络/锐捷交换机/基础配置,Ruijie> enable,进入特权模式,,,,,,
网络/锐捷交换机/基础配置,Ruijie,# 特权模式提示符,,,,,,
网络/锐捷交换机/基础配置,Ruijie,configure terminal  # 进入配置模式,,,,,,
网络/锐捷交换机/基础配置,Ruijie(config),# 配置模式提示符,,,,,,
网络/锐捷交换机/基础配置,Ruijie(config),hostname SW1  # 设置设备名,,,,,,
网络/锐捷交换机/基础配置,SW1(config),# 新提示符,,,,,,
网络/锐捷交换机/基础配置,SW1,show version  # 版本信息,,,,,,
网络/锐捷交换机/基础配置,SW1,show module  # 模块信息,,,,,,
网络/锐捷交换机/基础配置,SW1,write  # 保存配置,,,,,,
网络/锐捷交换机/基础配置,SW1,copy running-config startup-config  # 保存到启动配置,,,,,,
网络/锐捷交换机/基础配置,SW1,reload  # 重启设备,,,,,,
网络/锐捷交换机/基础配置,SW1,reset config  # 清除配置恢复出厂,,,,,,
网络/锐捷交换机/基础配置,SW1,clock set 10:30:00 15 january 2026  # 设置时间,,,,,,
网络/锐捷交换机/基础配置,SW1(config),clock timezone Beijing 8  # 设置时区,,,,,,
网络/锐捷交换机/基础配置,SW1(config),interface GigabitEthernet 0/1  # 千兆以太网接口,,,,,,
网络/锐捷交换机/基础配置,SW1(config-if),# 接口视图,,,,,,
网络/锐捷交换机/基础配置,SW1(config),interface TenGigabitEthernet 0/25  # 万兆以太网接口,,,,,,
网络/锐捷交换机/基础配置,SW1(config),interface range GigabitEthernet 0/1 \10  # 批量进入接口 1-10,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config),vlan 10  # 创建 VLAN 10,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-vlan),name Sales  # 命名 VLAN,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config),"vlan 10,20,30  # 创建多个 VLAN",,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config),vlan 10-20  # VLAN 范围,,,,,,
网络/锐捷交换机/VLAN 配置,SW1,show vlan  # 所有 VLAN,,,,,,
网络/锐捷交换机/VLAN 配置,SW1,show vlan id 10  # VLAN 10 详情,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),switchport mode access  # Access 模式,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),switchport access vlan 10  # 加入 VLAN 10,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),switchport mode trunk  # Trunk 模式,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),switchport trunk native vlan 1  # Native VLAN,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),"switchport trunk allowed vlan add 10,20,30  # 允许 VLAN",,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config),interface Vlan 10  # VLAN 接口,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),ip address 192.168.10.1 255.255.255.0  # IP 地址,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),switchport mode qinq  # QinQ 模式,,,,,,
网络/锐捷交换机/VLAN 配置,SW1(config-if),switchport qinq outer-vlan-id 100  # 外层 VLAN,,,,,,
网络/锐捷交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree  # 启用生成树,,,,,,
网络/锐捷交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree mode stp  # STP 模式,,,,,,
网络/锐捷交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree mode rstp  # RSTP 模式,,,,,,
网络/锐捷交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree mode mstp  # MSTP 模式,,,,,,
网络/锐捷交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree vlan 10 priority 0  # 优先级 0,,,,,,
网络/锐捷交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree vlan 10 root primary  # 主根桥,,,,,,
网络/锐捷交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree vlan 10 root secondary  # 备份根桥,,,,,,
